code,hours,type
WRIT 13O1,3,COMM
WRIT 1302,3,COMM
WRIT 2311,3,COMM
ASTR 1303,3,LPS
ASTR 1304,3,LPS
BIOL 1306,3,LPS
BIOL 1308,3,LPS
BIOL 1309,3,LPS
BIOL 2301,3,LPS
BIOL 2302,3,LPS
CHEM 1305,3,LPS
CHEM 1311,3,LPS
CHEM 1312,3,LPS
CHEM 1372,3,LPS
ENSC 1301,3,LPS
ENSC 1302,3,LPS
GEOL 1303,3,LPS
GEOL 1304,3,LPS
PHYS 1301,3,LPS
PHYS 1302,3,LPS
PHYS 2325,3,LPS
PHYS 2326,3,LPS
ANTH 2346,3,LPC
COMM 1307,3,LPC
HUMN 1301,3,LPC
LITR 2341,3,LPC
PHIL 1301,3,LPC
SPAN 2311,3,LPC
WGST 1301,3,LPC
ARTS 1303,3,ARTS
ARTS 1304,3,ARTS
ARTS 1314,3,ARTS
ARTS 2372,3,ARTS
ARTS 2379,3,ARTS
LITR 2366,3,ARTS
HIST 1301,3,HIST
HIST 1302,3,HIST
POLS 2305,3,POLS
POLS 2306,3,POLS
ECON 2302,3,SOCI
COMM 1315,3,COMP
PSYC 1100,1,COMP
ACCT 2301,3,MAJOR
CINF 1370,3,MAJOR
CINF 321,3,MAJOR
CINF 3331,3,MAJOR
CINF 4320,3,MAJOR
CINF 4321,3,MAJOR
CINF 4324,3,MAJOR
CINF 4364,3,MAJOR
CINF 4388,3,MAJOR
CSCI 1470,3,MAJOR
CSCI 1471,3,MAJOR
CSCI 2315,3,MAJOR
CSCI 4333,3,MAJOR
DSCI 3331,3,MAJOR
MATH 1325,3,MAJOR
MATH 2305,3,MAJOR
MGMT 3301,3,MAJOR
STAT 3308,3,MAJOR
SWEN 4342,3,MAJOR
WRIT 3312,3,MAJOR
WRIT 3315,3,MAJOR
ITEC 4342,3,MAJOR
ITEC 4313,3,MAJOR
