ACCT 2301,Principles of Accounting I - Financial
ACCT 2302,Principles of Accounting II - Managerial
ACCT 3332,Financial Reporting & Analysis
ACCT 3333,Cost Accounting
ACCT 3341,Intermediate Accounting I
ACCT 3342,Intermediate Accounting II
ACCT 4331,Federal Taxation Individuals
ACCT 4332,Financial Information Systems
ACCT 4341,Auditing I
ACCT 4342,Govt & Not For Profit Acct
ACCT 4344,Oil & Gas Accounting
ACCT 4346,Business Ethics for Accountant
ACCT 4348,Intro to Data Analytics in Accounting
ACCT 4352,Advanced Financial Accounting
ACCT 4353,Federal Taxation of Business Entities
ACCT 4361,International Accounting
ACCT 5131,Acct For Administration Cntrl
ACCT 5133,Financial Accounting I
ACCT 5134,Financial Accounting II
ACCT 5137,Principles Of Auditing
ACCT 5231,Individual Income Tax
ACCT 5234,Corporate and Pass Through Entity Taxation
ACCT 5331,Acct Analysis-Mgmt Decisions
ACCT 5332,Acct Information Systems
ACCT 5333,Fundamentals of Databases and Business Intelligence
ACCT 5334,Advanced Database Applications Development
ACCT 5336,Systems Analysis and Design
ACCT 5431,Advanced Accounting
ACCT 5432,Acct For Govt & Not Profit
ACCT 5436,Principles of Internal Auditing
ACCT 5438,Fundamentals of Data Analytics
ACCT 5531,International Accounting
ACCT 5631,Data Warehousing and Data Mining
ACCT 5632,Advanced Data Analytics in ERP System
ACCT 5633,Data Analytics Application Development
ACCT 6731,Financial Statement and Accounting Information Quality Analysis Seminar
ACCT 6732,Seminar in Fraud Examination and Audit Risk
ACCT 6735,Oil & Gas Accounting
ADSU 5010,Professional Preparation Seminar
ADSU 6132,Curriculum
ADSU 6233,Principalship
ADSU 6436,School Resource Management
ADSU 6437,School Law
ADSU 6638,School Community Relations
ADSU 6735,Leadership Research Seminar
ADSU 6739,Graduate Practicum
ANTH 2346,General Anthropology
ANTH 3311,Contemporary Cultural Anthropology
ANTH 3330,Interdisciplinary Perspectives in Global Health
ANTH 3334,"Human Sex, Culture, Health"
ANTH 3357,Topics in African Studies
ANTH 3359,"Gender, Media, and Diplomacy in the Arab World"
ANTH 3361,Anthropology of Food
ANTH 3362,Medicine and Culture
ANTH 4301,Studies in Cultural Diversity
ANTH 4302,Applied Anthropology
ANTH 4333,"Mexico, Central America, and Borderlands"
ANTH 4334,Native Americans
ANTH 4341,Gender and Sexuality in Global Perspectives
ANTH 4342,"Human Rights, Social Justice, Health"
ANTH 4352,World Prehistory and Archaeology
ANTH 5334,Native American Cultures
ANTH 5537,Topics in African Studies
ANTH 5538,Cultures of the Middle East
ANTH 5931,Research Topics in Anthropology
ARTS 1303,World Art Survey I
ARTS 1304,World Art Survey II
ARTS 1311,Design Foundations
ARTS 1316,Drawing Foundations
ARTS 1325,Drawing for Non-Art Majors
ARTS 2316,Painting
ARTS 2371,Digital Photography 1
ARTS 2372,Integrating Visual Art: Arts and STEM
ARTS 2379,Arts and the Child
ARTS 3310,Sculpture
ARTS 3320,Ceramics
ARTS 3331,Intermediate Drawing
ARTS 3333,Life Drawing
ARTS 3335,Intermediate Painting
ARTS 3340,Printmaking
ARTS 3341,Fibers
ARTS 3350,Art 1900-1950
ARTS 3351,Art 1950-Present
ARTS 3352,Traditional Photography
ARTS 3360,Graphic Design
ARTS 4300,Methods in Elementary Art Education
ARTS 4301,Methods in Secondary Art Education
ARTS 4310,Advanced Sculpture
ARTS 4311,Process Sculpture
ARTS 4315,Art of the Ancient Greek World
ARTS 4320,Advanced Ceramics
ARTS 4322,Roman Art
ARTS 4331,Advanced Drawing
ARTS 4335,Advanced Painting
ARTS 4339,Silkscreen Printing
ARTS 4341,Advanced Fibers
ARTS 4348,Information Design
ARTS 4350,Advanced Traditional Photography
ARTS 4351,Advanced Digital Photography
ARTS 4352,Video Arts
ARTS 4358,History and Theory of Graphic Design
ARTS 4363,Advertising Design
ARTS 4364,Museum Studies
ARTS 4368,Graphic Novel Design
ARTS 4369,Digital Illustration
ARTS 4380,Typeface Design
ARTS 4390,Senior Seminar in Art
ARTS 4391,Selected Topics in Art
ARTS 5231,Sculpture and Ceramic Studio
