crn,course_code,name,days,start_time,end_time,room_num,instructor,semester,mode,status
19593,ACCT 2301,Principles of Accounting I - Financial,TDB,TDB,TDB,TBA,Susan M Sorensen,Fall 2023,100% Online,Opened
19594,ACCT 2301,Principles of Accounting I - Financial,TH,1300,1420,SSCB 3310,Susan M Sorensen,Fall 2023,Face to Face,Opened
19877,ACCT 2301,Principles of Accounting I - Financial,H,1900,2150,Bayou Building 1313,Chika Onyema,Fall 2023,< 50% online,Opened
19595,ACCT 2302,Principles of Accounting II - Managerial,TH,830,950,Bayou Building 2512,Md Rajib Hasan,Fall 2023,Face to Face,Opened
19596,ACCT 2302,Principles of Accounting II - Managerial,TDB,TDB,TDB,TBA,Md Rajib Hasan,Fall 2023,100% Online,Opened
24347,ACCT 2302,Principles of Accounting II - Managerial,W,1900,2150,Bayou Building 1217,To be Announced,Fall 2023,< 50% online,Closed
19597,ACCT 3333,Cost Accounting,TDB,TDB,TDB,TBA,Shanshan Pan,Fall 2023,100% Online,Opened
19598,ACCT 3333,Cost Accounting,M,1900,2150,Bayou Building 1302,Haeyoung Shin,Fall 2023,< 50% online,Opened
19600,ACCT 3341,Intermediate Accounting I,M,1600,1850,Bayou Building 3332,Md Rajib Hasan,Fall 2023,Face to Face,Opened
19601,ACCT 3341,Intermediate Accounting I,W,1900,2150,Bayou Building 1211,Shanshan Pan,Fall 2023,< 50% online,Opened
19603,ACCT 3342,Intermediate Accounting II,T,1900,2150,Bayou Building 2234,Haeyoung Shin,Fall 2023,< 50% online,Opened
19604,ACCT 3342,Intermediate Accounting II,TDB,TDB,TDB,TBA,Haeyoung Shin,Fall 2023,100% Online,Opened
19605,ACCT 4331,Federal Taxation Individuals,T,1600,1850,Bayou Building 2234,Barry R Marks,Fall 2023,Face to Face,Opened
19606,ACCT 4331,Federal Taxation Individuals,TDB,TDB,TDB,TBA,Barry R Marks,Fall 2023,100% Online,Opened
19608,ACCT 4332,Financial Information Systems,H,1900,2150,Bayou Building 2234,Hui Du,Fall 2023,< 50% online,Opened
19610,ACCT 4336,Principles of Internal Auditing,W,100,100,Bayou Building 1333,Jun Hao,Fall 2023,100% Online,Opened
19611,ACCT 4341,Auditing I,W,1900,2150,Bayou Building 3326,To be Announced,Fall 2023,< 50% online,Opened
19612,ACCT 4341,Auditing I,TDB,TDB,TDB,TBA,Jun Hao,Fall 2023,100% Online,Opened
19613,ACCT 4342,Govt & Not For Profit Acct,W,1900,2150,Bayou Building 1215,Barry R Marks,Fall 2023,< 50% online,Opened
19614,ACCT 4344,Oil & Gas Accounting,M,1900,2150,Bayou Building 2234,"Celine Marie Siewert,
Michael J Lacina",Fall 2023,< 50% online,Opened
19615,ACCT 4346,Business Ethics for Accountant,H,1900,2150,Bayou Building 1218,Amanda Bates,Fall 2023,< 50% online,Opened
19616,ACCT 4346,Business Ethics for Accountant,TDB,TDB,TDB,TBA,Amanda Bates,Fall 2023,100% Online,Opened
19618,ACCT 4348,Intro to Data Analytics in Accounting,TDB,TDB,TDB,TBA,"Terri K. Aragon,
Michael J Lacina",Fall 2023,100% Online,Opened
19619,ACCT 4352,Advanced Financial Accounting,T,1900,2150,Bayou Building 1218,Zhaohui Xu,Fall 2023,< 50% online,Opened
19621,ACCT 4353,Federal Taxation of Business Entities,M,1900,2150,Bayou Building 1217,William Scott Youngblood,Fall 2023,< 50% online,Opened
19622,ACCT 5131,Acct For Administration Cntrl,M,1900,2150,Bayou Building 1335,Lin Yi,Fall 2023,< 50% online,Opened
19625,ACCT 5131,Acct For Administration Cntrl,TDB,TDB,TDB,TBA,Lin Yi,Fall 2023,100% Online,Opened
19627,ACCT 5133,Financial Accounting I,M,1600,1850,Bayou Building 3332,Md Rajib Hasan,Fall 2023,Face to Face,Opened
19628,ACCT 5133,Financial Accounting I,W,1900,2150,Bayou Building 1211,Shanshan Pan,Fall 2023,< 50% online,Opened
19629,ACCT 5134,Financial Accounting II,T,1900,2150,Bayou Building 2234,Haeyoung Shin,Fall 2023,< 50% online,Opened
24356,ACCT 5134,Financial Accounting II,TDB,TDB,TDB,TBA,Haeyoung Shin,Fall 2023,100% Online,Opened
19630,ACCT 5137,Principles Of Auditing,W,1900,2150,Bayou Building 3326,To be Announced,Fall 2023,< 50% online,Opened
19631,ACCT 5137,Principles Of Auditing,TDB,TDB,TDB,TBA,Jun Hao,Fall 2023,100% Online,Opened
19632,ACCT 5234,Corporate and Pass Through Entity Taxation,W,1900,2150,Bayou Building 1213,Susan M Sorensen,Fall 2023,< 50% online,Opened
19633,ACCT 5331,Acct Analysis-Mgmt Decisions,T,1900,2150,Bayou Building 1215,Michael J Lacina,Fall 2023,< 50% online,Opened
19634,ACCT 5332,Acct Information Systems,T,1900,2150,Bayou Building 1213,Hui Du,Fall 2023,< 50% online,Opened
19635,ACCT 5333,Fundamentals of Databases and Business Intelligence,W,1900,2150,SSCB� 2311,Naveed Saleem,Fall 2023,Face to Face,Opened
19636,ACCT 5334,Advanced Database Applications Development,M,1900,2150,Student Services Bld 2310,Naveed Saleem,Fall 2023,Face to Face,Opened
19637,ACCT 5336,Systems Analysis and Design,W,1300,1550,Bayou Building 2512,Douglas J Steel,Fall 2023,Face to Face,Opened
