crn,course_code,name,days,start_time,end_time,room_num,instructor,semester,mode,status
10032,ACCT 2301,Principles of Accounting I - Financial,TuTh,2:30PM,3:50PM,Bayou Building 2311,Susan M Sorensen,Spring 2023,Face to Face,Opened
10033,ACCT 2301,Principles of Accounting I - Financial,MoWeFr,10:00AM,10:50AM,Bayou Building 1218,Susan M Sorensen,Spring 2023,< 50% online,Opened
10034,ACCT 2301,Principles of Accounting I - Financial,Th,7:00PM,9:50PM,Bayou Building 2122,Chika Onyema,Spring 2023,< 50% online,Opened
10035,ACCT 2302,Principles of Accounting II - Managerial,TuTh,8:30AM,9:50AM,Bayou Building 1313,Md Rajib Hasan,Spring 2023,Face to Face,Opened
10036,ACCT 2302,Principles of Accounting II - Managerial,MoWeFr,10:00AM,10:50AM,Bayou Building 3332,Md Rajib Hasan,Spring 2023,< 50% online,Opened
10037,ACCT 2302,Principles of Accounting II - Managerial,Th,7:00PM,9:50PM,Bayou Building 1311,Terri K. Aragon,Spring 2023,< 50% online,Opened
10038,ACCT 3332,Financial Reporting & Analysis,TDB,TDB,TDB,TBA,Michael J Lacina,Spring 2023,100% Online,Opened
10040,ACCT 3333,Cost Accounting,Tu,7:00PM,9:50PM,Bayou Building 1124,Michael J Lacina,Spring 2023,< 50% online,Opened
10041,ACCT 3333,Cost Accounting,TDB,TDB,TDB,TBA,Shanshan Pan,Spring 2023,100% Online,Opened
10043,ACCT 3341,Intermediate Accounting I,We,7:00PM,9:50PM,Bayou Building 1217,Shanshan Pan,Spring 2023,< 50% online,Opened
10044,ACCT 3341,Intermediate Accounting I,TDB,TDB,TDB,TBA,Md Rajib Hasan,Spring 2023,100% Online,Opened
10049,ACCT 3342,Intermediate Accounting II,TDB,TDB,TDB,TBA,Haeyoung Shin,Spring 2023,100% Online,Closed
10053,ACCT 4331,Federal Taxation Individuals,TDB,TDB,TDB,TBA,Barry R Marks,Spring 2023,100% Online,Closed
10055,ACCT 4332,Financial Information Systems,We,7:00PM,9:50PM,Bayou Building 1311,Hui Du,Spring 2023,< 50% online,Opened
10056,ACCT 4332,Financial Information Systems,TDB,TDB,TDB,TBA,Hui Du,Spring 2023,100% online w/F2F,Opened
10058,ACCT 4341,Auditing I,TDB,TDB,TDB,TBA,Jun Hao,Spring 2023,100% online w/F2F,Closed
10062,ACCT 4344,Oil & Gas Accounting,Mo,7:00PM,9:50PM,Bayou Building 1215,"Celine Marie Siewert,
Michael J Lacina",Spring 2023,< 50% online,Opened
